file_name,genre
2,Hip-Hop
5,Hip-Hop
10,Pop
140,Folk
141,Folk
148,Experimental
182,Rock
190,Folk
193,Folk
194,Folk
197,Folk
200,Folk
203,Folk
204,Folk
207,Folk
210,Folk
211,Folk
212,Folk
213,Pop
255,Rock
256,Rock
368,Rock
424,Experimental
459,Rock
534,Folk
540,Folk
546,Folk
574,Rock
602,Folk
615,Experimental
620,Folk
621,Folk
625,Folk
666,International
667,International
676,Hip-Hop
690,Rock
694,Hip-Hop
695,Hip-Hop
704,International
705,International
706,International
707,International
708,International
709,International
714,Folk
715,Folk
716,Folk
718,Folk
777,Rock
814,Folk
821,Pop
822,Pop
825,Rock
853,International
890,Folk
892,Folk
897,Experimental
993,Rock
995,Experimental
997,Experimental
998,Experimental
1039,Rock
1040,Rock
1066,Experimental
1069,Experimental
1073,Experimental
1075,Experimental
1082,International
1083,Experimental
1087,Rock
1102,Rock
1193,Folk
1195,Folk
1196,Folk
1197,Folk
1249,Experimental
1259,Experimental
1270,Rock
1276,Experimental
1277,Experimental
1278,Experimental
1417,Rock
1427,Rock
1443,Experimental
1482,Electronic
1510,Experimental
1544,Folk
1642,Pop
1644,Pop
1649,Pop
1661,Pop
1663,Pop
1666,Pop
1673,Experimental
1680,International
1681,International
1682,International
1683,International
1684,International
1685,International
1686,International
1687,International
1688,International
1689,International
1701,Folk
1702,Folk
1703,Folk
1704,Folk
1706,Rock
1720,Rock
1732,Experimental
1733,Experimental
1735,Experimental
1736,Experimental
1883,Rock
1891,Rock
1893,Folk
1924,Folk
1925,Folk
1929,Experimental
1930,Rock
